Department,Category,Condition Group,Sales Week,Net Item Revenue (Fulfilled),Net Items (Fulfilled),Gross Orders (Fulfilled),Net Sell Through Items (Week),MSRP of Sold Items,Avg. Item Age When Sold,Avg. Item Age EOW,EOW Inventory For Sale $,EOW Inventory For Sale Items,MSRP of EOW Inventory,,,,,,,,,,,,#REF!
Kitchen and Dining,Forks,OK,10/7/2018,$56,$1,1,50.00%,$93,4.851,3.43,$131,1,$273,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,1/13/2019,$269,$4,4,5.90%,$408,87.472,80.57,"$6,400",64,"$8,815",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,1/6/2019,$0,$0,0,0.00%,$0,0,75.74,"$6,749",68,"$9,295",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,12/30/2018,$122,$1,1,1.40%,$185,7.931,70,"$6,749",68,"$9,295",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,12/23/2018,$73,$2,3,2.90%,$111,9.779,64.47,"$6,719",67,"$9,255",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,12/16/2018,$340,$6,6,8.10%,$515,27.566,58.45,"$6,636",68,"$9,141",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,12/9/2018,$369,$6,6,8.30%,$559,26.026,55.09,"$6,262",66,"$8,626",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,12/2/2018,$455,$5,5,6.80%,$689,48.741,53.62,"$6,335",69,"$8,726",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,11/25/2018,$135,$2,3,2.90%,$205,15.4,48.09,"$6,355",67,"$8,753",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,11/18/2018,$212,$4,4,5.40%,$321,17.479,46.55,"$6,601",70,"$9,092",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,11/11/2018,$333,$4,4,5.30%,$505,10.241,40.11,"$6,746",71,"$9,292",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,11/4/2018,$507,$8,7,10.10%,$768,46.97,38.64,"$6,639",71,"$9,144",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,10/28/2018,$165,$3,3,5.30%,$250,4.543,46.9,"$4,305",54,"$5,930",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,10/21/2018,$302,$5,6,8.30%,$458,7.315,42,"$4,349",55,"$5,991",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,10/14/2018,$130,$2,2,3.70%,$197,37.961,41.16,"$4,183",52,"$5,762",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Perfect,10/7/2018,$104,$1,1,2.10%,$158,3.311,36.82,"$3,878",47,"$5,341",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,1/13/2019,$154,$3,3,15.80%,$233,201.432,108.29,"$1,544",16,"$2,127",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,1/6/2019,$0,$0,0,0.00%,$0,0,103.74,"$1,724",19,"$2,374",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,12/30/2018,$0,$0,0,0.00%,$0,0,98.84,"$1,724",19,"$2,374",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,12/23/2018,$0,$0,0,0.00%,$0,0,93.94,"$1,724",19,"$2,374",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,12/16/2018,$89,$2,2,9.50%,$135,0.847,82.81,"$1,724",19,"$2,374",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,12/9/2018,$0,$0,0,0.00%,$0,0,80.01,"$1,724",19,"$2,374",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,12/2/2018,$313,$4,4,17.40%,$474,5.775,66.64,"$1,724",19,"$2,374",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,11/25/2018,$187,$3,3,12.50%,$283,26.103,60.27,"$1,905",21,"$2,624",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,11/18/2018,$10,$0,1,0.00%,$15,2.464,58.73,"$1,999",23,"$2,753",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,11/11/2018,$0,$0,0,0.00%,$0,0,53.83,"$1,823",21,"$2,511",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,11/4/2018,$220,$3,3,13.00%,$333,23.562,52.36,"$1,799",20,"$2,477",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,10/28/2018,$135,$1,1,5.00%,$205,1.617,53.55,"$1,661",19,"$2,288",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,10/21/2018,$207,$3,3,14.30%,$314,5.467,45.36,"$1,557",18,"$2,144",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,10/14/2018,$450,$4,4,16.70%,$682,49.665,45.08,"$1,727",20,"$2,379",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,Great,10/7/2018,$180,$1,1,4.30%,$273,1.771,42.7,"$1,998",22,"$2,752",,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,1/13/2019,$0,$0,0,0.00%,$0,0,98.49,$135,5,$186,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,1/6/2019,-$56,-$1,0,-25.00%,-$85,0,88.27,$135,5,$186,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,12/30/2018,$0,$0,0,0.00%,$0,0,88.69,$135,5,$186,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,12/23/2018,$0,$0,0,0.00%,$0,0,83.79,$135,5,$186,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,12/16/2018,$0,$0,0,0.00%,$0,0,78.89,$135,5,$186,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,12/9/2018,$0,$0,0,0.00%,$0,0,73.99,$135,5,$186,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,12/2/2018,$179,$2,2,28.60%,$271,21.483,55.37,$135,5,$186,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,11/25/2018,$64,$1,1,12.50%,$97,10.241,46.13,$270,7,$371,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,11/18/2018,$121,$3,3,27.30%,$183,3.85,31.64,$344,8,$474,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,11/11/2018,$0,$0,0,0.00%,$0,0,28.77,$435,9,$598,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,11/4/2018,$120,$2,1,28.60%,$182,1.463,31.85,$234,5,$323,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,10/28/2018,$0,$0,0,0.00%,$0,0,32.06,$309,6,$426,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,10/21/2018,$0,$0,0,0.00%,$0,0,68.88,$101,3,$139,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,10/14/2018,$56,$1,1,25.00%,$85,0.231,55.09,$101,3,$139,,,,,,,,,,,,#REF!
Kitchen and Dining,Plates,OK,10/7/2018,$78,$1,1,25.00%,$118,0.154,44.59,$101,3,$139,,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,1/13/2019,$72,$4,6,5.70%,$131,21.637,71.61,"$2,690",66,"$6,113",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,1/6/2019,$138,$6,7,8.30%,$251,42.119,70.77,"$2,654",66,"$6,033",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,12/30/2018,$656,$11,12,13.30%,"$1,193",86.317,65.52,"$2,809",72,"$6,385",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,12/23/2018,"$1,052",$20,18,21.30%,"$1,913",20.79,57.54,"$3,167",74,"$7,198",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,12/16/2018,"$1,217",$28,25,24.10%,"$2,213",38.654,54.11,"$4,061",88,"$9,230",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,12/9/2018,"$1,130",$27,24,22.30%,"$2,055",77,57.54,"$4,297",94,"$9,765",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,12/2/2018,"$1,428",$30,27,24.00%,"$2,596",31.878,65.45,"$4,293",95,"$9,758",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,11/25/2018,$930,$20,19,14.60%,"$1,691",49.742,61.46,"$5,421",117,"$12,320",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,11/18/2018,$806,$14,12,10.00%,"$1,465",37.807,63.21,"$5,584",126,"$12,690",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,11/11/2018,$682,$10,10,7.30%,"$1,240",14.707,57.68,"$5,869",127,"$13,338",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,11/4/2018,"$1,113",$16,16,11.70%,"$2,024",25.025,56.77,"$5,754",121,"$13,078",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,10/28/2018,$829,$12,11,8.60%,"$1,507",17.71,53.06,"$6,340",127,"$14,410",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,10/21/2018,"$1,457",$13,12,9.40%,"$2,649",4.543,50.47,"$6,140",125,"$13,955",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,10/14/2018,$698,$8,9,5.90%,"$1,269",57.442,50.05,"$7,066",128,"$16,060",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Perfect,10/7/2018,$862,$10,10,8.30%,"$1,567",37.961,55.58,"$5,630",110,"$12,795",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,1/13/2019,$90,$5,5,7.50%,$164,41.657,75.46,"$1,522",62,"$3,460",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,1/6/2019,$339,$4,4,5.80%,$616,63.063,72.24,"$1,580",65,"$3,590",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,12/30/2018,-$115,$2,4,2.90%,-$209,38.423,65.87,"$1,668",67,"$3,790",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,12/23/2018,$285,$6,6,8.20%,$518,31.724,60.9,"$1,755",67,"$3,988",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,12/16/2018,$203,$3,3,3.90%,$369,1.155,56.42,"$2,067",73,"$4,698",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,12/9/2018,$490,$12,12,15.80%,$891,37.345,52.15,"$1,731",64,"$3,935",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,12/2/2018,$581,$11,11,14.10%,"$1,056",31.031,54.81,"$2,056",67,"$4,673",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,11/25/2018,$125,$3,3,4.10%,$227,8.701,50.68,"$2,272",71,"$5,163",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,11/18/2018,$105,$2,2,2.90%,$191,3.388,53.34,"$2,166",67,"$4,923",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,11/11/2018,$481,$7,7,9.50%,$875,48.895,48.23,"$2,240",67,"$5,090",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,11/4/2018,$309,$4,4,5.60%,$562,25.256,47.04,"$2,440",68,"$5,545",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,10/28/2018,$307,$5,4,6.80%,$558,14.938,41.44,"$2,321",69,"$5,275",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,10/21/2018,$326,$4,4,5.60%,$593,19.096,39.2,"$2,368",68,"$5,383",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,10/14/2018,$50,$1,2,1.40%,$91,79.156,36.89,"$2,593",69,"$5,893",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,Great,10/7/2018,$382,$4,3,5.70%,$695,15.631,33.18,"$2,427",66,"$5,515",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,1/13/2019,$123,$3,3,42.90%,$224,44.968,66.08,$349,4,$793,,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,1/6/2019,$183,$4,4,36.40%,$333,57.211,59.5,$484,7,"$1,100",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,12/30/2018,-$38,$0,1,0.00%,-$69,37.191,53.2,$620,10,"$1,410",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,12/23/2018,$83,$2,2,16.70%,$151,25.641,48.93,$584,10,"$1,328",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,12/16/2018,$63,$3,3,20.00%,$115,5.313,40.25,$672,12,"$1,528",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,12/9/2018,$118,$3,3,23.10%,$215,31.262,34.3,$625,10,"$1,420",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,12/2/2018,$86,$1,2,7.70%,$156,59.213,46.41,$738,12,"$1,678",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,11/25/2018,$0,$0,0,0.00%,$0,0,42.77,$811,12,"$1,843",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,11/18/2018,$184,$3,3,21.40%,$335,75.845,48.51,$784,11,"$1,783",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,11/11/2018,-$5,-$1,1,-8.30%,-$9,25.102,43.4,$956,13,"$2,173",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,11/4/2018,$106,$1,1,8.30%,$193,46.585,47.25,$844,11,"$1,918",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,10/28/2018,$138,$2,2,14.30%,$251,39.578,41.86,$968,12,"$2,200",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,10/21/2018,-$76,$0,1,0.00%,-$138,22.715,36.4,"$1,016",14,"$2,310",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,10/14/2018,$151,$1,1,7.10%,$275,7.931,33.32,$895,13,"$2,035",,,,,,,,,,,,#REF!
Kitchen and Dining,Appliances,OK,10/7/2018,$83,$1,1,6.70%,$151,4.851,26.18,"$1,007",14,"$2,288",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,1/13/2019,$350,$15,12,5.60%,$455,119.966,145.46,"$6,101",252,"$9,904",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,1/6/2019,$362,$16,12,5.70%,$470,130.13,139.23,"$6,486",267,"$10,529",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,12/30/2018,$161,$8,6,2.80%,$209,124.355,134.68,"$6,747",281,"$10,954",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,12/23/2018,$179,$7,7,2.40%,$232,212.52,132.37,"$6,819",285,"$11,070",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,12/16/2018,$94,$6,5,2.00%,$122,75.845,124.88,"$6,958",290,"$11,295",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,12/9/2018,$207,$7,9,2.30%,$269,98.791,119,"$6,937",291,"$11,261",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,12/2/2018,$288,$13,10,4.20%,$374,109.263,118.16,"$6,915",293,"$11,225",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,11/25/2018,$194,$6,7,1.90%,$252,90.09,114.24,"$7,119",302,"$11,557",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,11/18/2018,$204,$11,11,3.50%,$265,95.326,116.62,"$7,191",300,"$11,673",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,11/11/2018,$192,$7,5,2.30%,$249,157.85,114.87,"$7,137",299,"$11,586",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,11/4/2018,$147,$8,9,2.60%,$191,83.93,109.62,"$7,165",302,"$11,632",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,10/28/2018,$41,$1,2,0.30%,$53,147.301,106.54,"$7,124",305,"$11,564",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,10/21/2018,$59,$3,3,1.00%,$77,171.248,105.63,"$6,905",296,"$11,209",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,10/14/2018,$70,$3,4,1.00%,$91,55.363,104.37,"$6,667",288,"$10,823",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Perfect,10/7/2018,$115,$6,6,2.10%,$149,129.514,101.78,"$6,463",281,"$10,491",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,1/13/2019,$24,$1,1,3.20%,$31,74.844,134.96,$794,30,"$1,289",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,1/6/2019,$0,$0,0,0.00%,$0,0,130.13,$822,31,"$1,334",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,12/30/2018,$0,$0,0,0.00%,$0,0,134.05,$739,29,"$1,200",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,12/23/2018,$40,$1,1,3.30%,$52,63.371,126.91,$739,29,"$1,200",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,12/16/2018,$0,$0,0,0.00%,$0,0,119.35,$779,30,"$1,264",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,12/9/2018,$35,$2,2,6.30%,$45,18.788,108.57,$779,30,"$1,264",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,12/2/2018,$24,$1,1,3.00%,$31,88.704,103.04,$816,32,"$1,325",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,11/25/2018,$6,$0,1,0.00%,$8,55.594,97.65,$801,31,"$1,300",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,11/18/2018,$29,$2,2,5.90%,$38,109.186,101.5,$821,32,"$1,332",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,11/11/2018,$15,$1,1,3.00%,$19,8.085,95.55,$824,32,"$1,338",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,11/4/2018,$45,$1,1,2.90%,$58,135.058,94.43,$835,33,"$1,355",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,10/28/2018,$9,$0,1,0.00%,$12,75.075,92.19,$857,33,"$1,391",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,10/21/2018,$0,$0,0,0.00%,$0,0,86.94,$854,32,"$1,386",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,10/14/2018,$0,$0,0,0.00%,$0,0,82.04,$854,32,"$1,386",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,Great,10/7/2018,-$2,$0,1,0.00%,-$3,101.871,82.46,$734,28,"$1,191",,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,1/13/2019,$0,$0,0,0.00%,$0,0,103.88,$36,1,$59,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,1/6/2019,$64,$2,2,66.70%,$83,105.567,98.07,$36,1,$59,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,12/30/2018,$0,$0,0,0.00%,$0,0,94.57,$107,3,$173,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,12/23/2018,$0,$0,0,0.00%,$0,0,89.67,$107,3,$173,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,12/16/2018,$0,$0,0,0.00%,$0,0,72.73,$107,3,$173,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,12/9/2018,$0,$0,0,0.00%,$0,0,67.83,$107,3,$173,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,12/2/2018,$0,$0,0,0.00%,$0,0,62.93,$107,3,$173,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,11/25/2018,$20,$1,1,25.00%,$26,275.352,96.74,$107,3,$173,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,11/18/2018,$0,$0,0,0.00%,$0,0,110.95,$129,4,$209,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,11/11/2018,$0,$0,0,0.00%,$0,0,106.05,$129,4,$209,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,11/4/2018,$0,$0,0,0.00%,$0,0,101.15,$129,4,$209,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,10/28/2018,$0,$0,0,0.00%,$0,0,80.29,$129,4,$209,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,10/21/2018,$0,$0,0,0.00%,$0,0,75.39,$129,4,$209,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,10/14/2018,$0,$0,0,0.00%,$0,0,70.49,$129,4,$209,,,,,,,,,,,,#REF!
Outdoor Furniture,Dining Tables,OK,10/7/2018,$0,$0,0,0.00%,$0,0,65.59,$129,4,$209,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,1/13/2019,$746,$21,15,7.50%,$848,178.948,142.17,"$10,374",260,"$10,717",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,1/6/2019,$686,$18,17,6.10%,$780,164.395,140,"$11,092",277,"$11,459",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,12/30/2018,$766,$17,13,5.40%,$870,58.443,133.42,"$11,904",297,"$12,298",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,12/23/2018,$94,$2,2,0.60%,$107,54.978,130.34,"$12,390",309,"$12,800",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,12/16/2018,$441,$12,9,3.80%,$501,123.893,130.06,"$12,350",308,"$12,758",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,12/9/2018,$858,$25,18,7.40%,$975,128.205,127.54,"$12,646",314,"$13,064",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,12/2/2018,$984,$26,21,7.20%,"$1,118",127.435,124.81,"$13,246",333,"$13,684",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,11/25/2018,$476,$11,10,3.10%,$541,112.42,123.55,"$13,763",343,"$14,218",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,11/18/2018,$455,$14,13,3.90%,$517,114.961,118.58,"$13,811",344,"$14,267",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,11/11/2018,$886,$21,14,5.90%,"$1,007",49.588,112.63,"$13,325",337,"$13,766",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,11/4/2018,$487,$13,11,3.80%,$553,83.93,113.05,"$13,220",333,"$13,657",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,10/28/2018,$576,$15,11,4.20%,$655,64.218,110.6,"$13,398",339,"$13,841",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,10/21/2018,$411,$9,6,2.60%,$467,76.23,110.6,"$13,199",338,"$13,635",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,10/14/2018,$974,$20,14,5.60%,"$1,107",65.45,107.45,"$13,188",336,"$13,624",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Perfect,10/7/2018,$945,$18,14,5.00%,"$1,074",60.368,105.49,"$13,476",339,"$13,922",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,1/13/2019,$140,$3,3,6.30%,$159,71.841,146.3,"$1,852",45,"$1,914",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,1/6/2019,$156,$4,4,7.70%,$177,157.465,141.96,"$2,006",48,"$2,073",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,12/30/2018,$65,$2,2,3.90%,$74,75.999,134.75,"$1,987",49,"$2,052",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,12/23/2018,$81,$2,2,3.90%,$92,64.526,140.35,"$1,946",49,"$2,010",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,12/16/2018,$4,$0,1,0.00%,$5,46.277,135.45,"$2,000",50,"$2,066",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,12/9/2018,$33,$1,1,2.00%,$38,73.304,136.08,"$1,904",48,"$1,967",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,12/2/2018,$120,$4,4,7.50%,$136,124.047,130.83,"$1,954",49,"$2,018",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,11/25/2018,$31,$1,1,1.90%,$35,1.771,128.8,"$1,969",51,"$2,034",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,11/18/2018,$45,$1,1,1.90%,$51,55.594,125.65,"$1,998",52,"$2,064",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,11/11/2018,$60,$2,2,3.80%,$68,39.578,119.28,"$1,981",51,"$2,047",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,11/4/2018,$36,$1,1,1.90%,$41,15.631,112.84,"$2,060",53,"$2,128",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,10/28/2018,-$31,$0,1,0.00%,-$35,272.811,113.4,"$1,962",50,"$2,027",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,10/21/2018,$51,$1,1,2.00%,$58,4.697,118.51,"$1,862",48,"$1,924",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,10/14/2018,$127,$3,3,5.90%,$144,32.494,111.23,"$1,879",48,"$1,941",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,Great,10/7/2018,$78,$2,2,4.00%,$89,23.947,105.56,"$1,846",48,"$1,907",,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,1/13/2019,$0,$0,0,0.00%,$0,0,84.14,$298,8,$308,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,1/6/2019,$0,$0,0,0.00%,$0,0,79.24,$259,7,$267,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,12/30/2018,$0,$0,0,0.00%,$0,0,85.4,$216,6,$223,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,12/23/2018,$0,$0,0,0.00%,$0,0,94.71,$216,6,$223,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,12/16/2018,$0,$0,0,0.00%,$0,0,89.81,$216,6,$223,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,12/9/2018,$57,$2,2,25.00%,$65,283.591,129.64,$216,6,$223,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,12/2/2018,$38,$1,1,11.10%,$43,15.862,113.4,$274,8,$283,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,11/25/2018,$42,$1,1,10.00%,$48,15.785,99.54,$323,9,$334,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,11/18/2018,$0,$0,0,0.00%,$0,0,91.35,$378,10,$391,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,11/11/2018,$0,$0,0,0.00%,$0,0,83.3,$378,10,$391,,,,,,,,,,,,#REF!
Outdoor Furniture,Chairs,OK,11/4/2018,$0,$0,0,0.00%,$0,0,78.4,$329,9,$340,,,,,,,,,,,,#REF!
