item_id,category,department,from_state_name,to_state_name,staff_id,transition_date_time,transition_order,duration_secs,cumulative_duration_secs,price
32907,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-21T17:43:12.403000+00:00,3,40940179,42142243,52.3
32907,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-23T01:17:51.916000+00:00,9,4723,42255922,52.3
34422,Spoons,Kitchen and Dining,PICKING,PICKED,178,2019-01-31T18:43:56.685000+00:00,5,375,42834579,43.86
34422,Spoons,Kitchen and Dining,ORDERED,PICKING,178,2019-01-31T18:37:41.891000+00:00,4,2641,42834204,43.86
34422,Spoons,Kitchen and Dining,PICKED,PACKING,135,2019-01-31T18:49:14.820000+00:00,6,318,42834897,43.86
34422,Spoons,Kitchen and Dining,PACKING,PACKED,135,2019-01-31T18:51:29.957000+00:00,7,135,42835032,43.86
34422,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-31T19:04:45.659000+00:00,9,787,42835828,43.86
34422,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-31T17:53:40.676000+00:00,3,41800280,42831563,43.86
34422,Spoons,Kitchen and Dining,PACKED,DROPPED,135,2019-01-31T18:51:38.071000+00:00,8,9,42835041,43.86
34748,Forks,Kitchen and Dining,PICKING,PICKED,178,2019-01-08T20:15:58.577000+00:00,5,0,40598389,47.06
34748,Forks,Kitchen and Dining,ORDERED,PICKING,178,2019-01-08T20:15:58.562000+00:00,4,14272,40598389,47.06
34748,Forks,Kitchen and Dining,PICKED,PACKING,135,2019-01-08T22:08:01.746000+00:00,6,6723,40605112,47.06
34748,Forks,Kitchen and Dining,PACKING,PACKED,135,2019-01-08T22:11:27.573000+00:00,7,206,40605318,47.06
34748,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-08T22:21:43.271000+00:00,9,608,40605934,47.06
34748,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-08T16:18:06.612000+00:00,3,39810751,40584117,47.06
